Year,Temperature,Precipitation,Scenario,Model
2028,23.74500946969697,1315.8840943044568,ssp370,noresm2-mm
2028,23.773910984848484,1824.3145280502936,ssp585,access-cm2
2028,23.636126893939394,1778.0406803163917,ssp585,inm-cm5-0
2028,24.52529356060606,1692.2849568411489,ssp585,miroc6
2028,24.430691287878787,1723.7056963827417,ssp585,mpi-esm1-2-hr
2028,22.815842803030304,1902.302002482085,ssp585,noresm2-mm
2029,23.951410984848483,1802.8911750470502,ssp126,access-cm2
2029,23.666126893939392,2281.551862969642,ssp126,inm-cm5-0
2029,24.601960227272727,1619.9637321050625,ssp126,miroc6
2029,24.454024621212124,1693.168935895443,ssp126,mpi-esm1-2-hr
2029,23.436676136363634,1412.6985030961737,ssp126,noresm2-mm
2029,24.18557765151515,2291.6494131535533,ssp245,access-cm2
2029,23.23362689393939,2044.3011788143967,ssp245,inm-cm5-0
2029,25.041126893939392,1679.2102919549275,ssp245,miroc6
2029,23.083191287878787,2186.7789586063673,ssp245,mpi-esm1-2-hr
2029,23.610842803030305,2115.3445755853313,ssp245,noresm2-mm
2029,24.063077651515147,2050.6242561702065,ssp370,access-cm2
2029,23.571960227272726,1728.0960883168486,ssp370,inm-cm5-0
2029,23.381960227272728,1900.9261095936827,ssp370,miroc6
2029,23.537357954545456,1781.8992958318338,ssp370,mpi-esm1-2-hr
2029,23.181676136363635,1962.3001117156418,ssp370,noresm2-mm
2029,24.041410984848483,1657.417569681424,ssp585,access-cm2
2029,23.516126893939397,2121.136949626216,ssp585,inm-cm5-0
2029,24.461960227272726,1773.159259105313,ssp585,miroc6
2029,23.51402462121212,1579.5250436187898,ssp585,mpi-esm1-2-hr
2029,22.648342803030303,2094.2876011226294,ssp585,noresm2-mm
2030,23.911410984848484,2166.9200532532122,ssp126,access-cm2
2030,23.163626893939394,1885.4824063429116,ssp126,inm-cm5-0
2030,24.631960227272728,1658.2439154652775,ssp126,miroc6
2030,23.429024621212122,2003.1698435654414,ssp126,mpi-esm1-2-hr
2030,23.794176136363635,1683.5339111322378,ssp126,noresm2-mm
2030,23.512244318181818,2067.512538706524,ssp245,access-cm2
2030,24.67446022727273,1831.8109894208703,ssp245,inm-cm5-0
2030,23.919460227272726,1583.45193729605,ssp245,miroc6
2030,24.069857954545455,1416.2102358001955,ssp245,mpi-esm1-2-hr
2030,23.83500946969697,2074.347425767657,ssp245,noresm2-mm
2030,24.181410984848483,1721.5352913857355,ssp370,access-cm2
2030,23.717793560606058,1834.6749989880282,ssp370,inm-cm5-0
2030,24.353626893939392,1651.5532935205686,ssp370,miroc6
2030,23.79402462121212,1625.7516232718351,ssp370,mpi-esm1-2-hr
2030,23.186676136363634,1881.6405009373739,ssp370,noresm2-mm
2030,23.759744318181816,1930.8484435398714,ssp585,access-cm2
2030,24.057793560606058,2094.1639191609283,ssp585,inm-cm5-0
2030,24.414460227272727,1402.9080859525086,ssp585,miroc6
2030,24.52152462121212,1830.494280444524,ssp585,mpi-esm1-2-hr
2030,23.568342803030305,2019.2174368580952,ssp585,noresm2-mm
2031,24.205577651515153,1629.822539304097,ssp126,access-cm2
2031,23.839460227272728,2133.040394555135,ssp126,inm-cm5-0
2031,24.030293560606058,1786.39388846526,ssp126,miroc6
2031,22.866524621212122,1696.4634357435898,ssp126,mpi-esm1-2-hr
2031,24.338342803030304,2186.7313104145164,ssp126,noresm2-mm
2031,23.937244318181815,1817.1786599740533,ssp245,access-cm2
2031,23.899460227272726,2276.6636869328895,ssp245,inm-cm5-0
2031,23.62779356060606,1696.0317315847267,ssp245,miroc6
2031,24.156524621212117,1422.8446084157617,ssp245,mpi-esm1-2-hr
2031,23.316676136363636,1821.4463124646595,ssp245,noresm2-mm
2031,24.15974431818182,2037.1884120205382,ssp370,access-cm2
2031,23.73696022727273,1597.7773461814454,ssp370,inm-cm5-0
2031,23.955293560606062,1642.343727977293,ssp370,miroc6
2031,24.64402462121212,1417.5866582646036,ssp370,mpi-esm1-2-hr
2031,23.166676136363638,1587.3726930767348,ssp370,noresm2-mm
2031,24.529744318181816,1245.3133446213476,ssp585,access-cm2
2031,23.301960227272726,2203.101402552593,ssp585,inm-cm5-0
2031,23.736126893939396,1906.4098405835498,ssp585,miroc6
2031,24.00569128787879,1888.940681419292,ssp585,mpi-esm1-2-hr
2031,24.1508428030303,1783.5444099581773,ssp585,noresm2-mm
2032,23.901410984848482,1675.150727412172,ssp126,access-cm2
2032,24.349460227272726,1977.5815807842487,ssp126,inm-cm5-0
2032,23.738626893939394,2081.212002565277,ssp126,miroc6
2032,24.259857954545453,1529.6524753510591,ssp126,mpi-esm1-2-hr
2032,24.532509469696972,1863.7312665556892,ssp126,noresm2-mm
2032,23.497244318181817,2095.177046737097,ssp245,access-cm2
2032,23.95446022727273,2013.5484159093862,ssp245,inm-cm5-0
2032,24.633626893939393,2052.9343209742638,ssp245,miroc6
2032,23.589024621212122,1511.67245547539,ssp245,mpi-esm1-2-hr
2032,23.505842803030305,1719.8041389511764,ssp245,noresm2-mm
2032,24.678077651515153,1682.0882588723127,ssp370,access-cm2
2032,23.974460227272726,2010.5218005916865,ssp370,inm-cm5-0
2032,24.158626893939395,1624.8105392174232,ssp370,miroc6
2032,23.637357954545454,2052.7518810730253,ssp370,mpi-esm1-2-hr
2032,23.52250946969697,1901.5330011871515,ssp370,noresm2-mm
2032,23.59474431818182,1642.3402358848275,ssp585,access-cm2
2032,23.98779356060606,1701.755881619757,ssp585,inm-cm5-0
2032,23.61779356060606,1848.4005900416219,ssp585,miroc6
2032,23.919857954545453,2055.508261403604,ssp585,mpi-esm1-2-hr
2032,23.634176136363635,2018.6852935912161,ssp585,noresm2-mm
2033,24.203910984848488,1942.6461765334275,ssp126,access-cm2
2033,23.823626893939394,1881.4320427834145,ssp126,inm-cm5-0
2033,23.688626893939396,2098.1403817344194,ssp126,miroc6
2033,24.398191287878788,1407.638592701572,ssp126,mpi-esm1-2-hr
2033,23.364176136363636,2435.4001243660573,ssp126,noresm2-mm
2033,23.38557765151515,1845.9603955447017,ssp245,access-cm2
2033,23.574460227272727,1727.358604103949,ssp245,inm-cm5-0
2033,24.849460227272726,1993.4037100632902,ssp245,miroc6
2033,23.384857954545453,2093.661682402423,ssp245,mpi-esm1-2-hr
2033,24.107509469696968,2186.338318249879,ssp245,noresm2-mm
2033,24.69807765151515,1765.2057446072645,ssp370,access-cm2
2033,24.32279356060606,2089.2085257898666,ssp370,inm-cm5-0
2033,24.04946022727273,1475.5023236788584,ssp370,miroc6
2033,24.213191287878786,1456.4969189744384,ssp370,mpi-esm1-2-hr
2033,22.98750946969697,1945.3716763013094,ssp370,noresm2-mm
2033,24.34474431818182,1716.3396510934945,ssp585,access-cm2
2033,24.316126893939394,1969.7026213333088,ssp585,inm-cm5-0
2033,24.019460227272727,1903.6388875180635,ssp585,miroc6
2033,23.64319128787879,1826.29159173497,ssp585,mpi-esm1-2-hr
2033,23.588342803030304,1649.1289915301934,ssp585,noresm2-mm
2034,24.211410984848484,1955.4832037278595,ssp126,access-cm2
2034,23.553626893939395,2261.678712568,ssp126,inm-cm5-0
2034,24.214460227272724,1387.6533899894923,ssp126,miroc6
2034,24.463191287878786,1667.4045019916348,ssp126,mpi-esm1-2-hr
2034,23.765009469696967,1715.396815732609,ssp126,noresm2-mm
2034,24.76724431818182,1597.9546247205542,ssp245,access-cm2
2034,23.87279356060606,1835.1305121464998,ssp245,inm-cm5-0
2034,24.914460227272727,1657.5104445541172,ssp245,miroc6
2034,24.32402462121212,1751.7452071183138,ssp245,mpi-esm1-2-hr
2034,23.50167613636364,1993.512314361748,ssp245,noresm2-mm
2034,24.076410984848483,1980.5731045468715,ssp370,access-cm2
2034,23.774460227272726,2232.6534313540324,ssp370,inm-cm5-0
2034,25.02529356060606,1281.6445726102615,ssp370,miroc6
2034,24.039857954545454,1761.7658834174647,ssp370,mpi-esm1-2-hr
2034,23.069176136363637,1641.7674797630602,ssp370,noresm2-mm
2034,24.062244318181815,1845.8611005005803,ssp585,access-cm2
2034,24.56029356060606,1978.4444124541808,ssp585,inm-cm5-0
2034,23.684460227272726,1823.796040984667,ssp585,miroc6
2034,23.778191287878787,1831.2608358094292,ssp585,mpi-esm1-2-hr
2034,23.782509469696972,1377.0046290898013,ssp585,noresm2-mm
2035,24.315577651515152,1522.4557059363385,ssp126,access-cm2
2035,23.721126893939395,1842.639347851461,ssp126,inm-cm5-0
2035,24.351126893939394,2016.9743027862437,ssp126,miroc6
2035,25.508191287878788,1455.1467149557434,ssp126,mpi-esm1-2-hr
2035,23.59417613636364,1529.574505617325,ssp126,noresm2-mm
2035,24.50724431818182,1824.466212783052,ssp245,access-cm2
2035,24.031960227272723,1722.0612452203934,ssp245,inm-cm5-0
2035,23.48696022727273,2292.603748168047,ssp245,miroc6
2035,23.929857954545454,1999.69439867965,ssp245,mpi-esm1-2-hr
2035,22.503342803030304,1969.8143524961854,ssp245,noresm2-mm
2035,24.648910984848484,1801.301786526006,ssp370,access-cm2
2035,23.508626893939393,1853.2585486658863,ssp370,inm-cm5-0
2035,24.026960227272724,1659.198738131779,ssp370,miroc6
2035,23.838191287878786,1631.4805664444523,ssp370,mpi-esm1-2-hr
2035,23.223342803030302,1572.2448249696106,ssp370,noresm2-mm
2035,23.389744318181815,1871.2153929374865,ssp585,access-cm2
2035,23.519460227272727,1980.734440002222,ssp585,inm-cm5-0
2035,24.71029356060606,1567.4816470741794,ssp585,miroc6
2035,23.77402462121212,2015.749468757155,ssp585,mpi-esm1-2-hr
2035,24.169176136363635,1810.0170910734878,ssp585,noresm2-mm
2036,24.40974431818182,1727.8105725083697,ssp126,access-cm2
2036,24.23696022727273,1536.030839625634,ssp126,inm-cm5-0
2036,24.738626893939394,1672.2323230747252,ssp126,miroc6
2036,24.75319128787879,2077.385955387913,ssp126,mpi-esm1-2-hr
2036,23.793342803030303,2143.87230457878,ssp126,noresm2-mm
2036,23.600577651515152,1861.471358267588,ssp245,access-cm2
